划分,序列,原序列总帧数,合成后读取记录总数,异常物体,异常帧号范围,异常点数中位数,插入正常物体,插入正常帧号范围,插入正常点数中位数
训练,scene-1082,40,117,料斗式搬运车 [#58],1-28; 30-34; 36-39,19,成年行人 [6a4481fa],0-39,8
训练,scene-1083,40,95,开口塑料垃圾桶 [#53],0-19,12,成年行人 [b06d8cac],0-14; 17,3.5
训练,scene-1084,41,41,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 摩托车 [20f0a30b],无,无
训练,scene-1085,41,48,未放置; 预分配 软质袋或袋组 [#25],无,无,成年行人 [344bf54d],35-40,6.5
训练,scene-1086,40,46,未放置; 预分配 软质袋或袋组 [#27],无,无,自行车 [f712d795],0-4,2
训练,scene-1087,40,48,软质袋或袋组 [#23],0-2; 6,2.5,未放置; 预分配 成年行人 [1e579651],无,无
训练,scene-1088,40,40,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 汽车 [379705eb],无,无
训练,scene-1089,40,47,软质袋或袋组 [#20],36; 39,22.5,成年行人 [c910dda7],4-7,15
训练,scene-1090,40,53,罩顶垃圾桶 [#37],0-4; 7; 9-10; 12,4,未放置; 预分配 摩托车 [4552905b],无,无
训练,scene-1091,41,50,软质袋或袋组 [#21],0; 2-3,4,未放置; 预分配 摩托车 [0efd1b1f],无,无
训练,scene-1092,41,55,罩顶垃圾桶 [#38],0-6,16,未放置; 预分配 汽车 [f9f45964],无,无
训练,scene-1093,41,41,未放置; 预分配 街旁小型垃圾桶 [#45],无,无,未放置; 预分配 自行车 [03e3fc34],无,无
训练,scene-1094,40,40,未放置; 预分配 平盖带轮垃圾桶 [#40],无,无,未放置; 预分配 摩托车 [2e1665da],无,无
训练,scene-1095,40,44,带脚轮金属工具箱 [#55],0-1,54,未放置; 预分配 摩托车 [bce02974],无,无
训练,scene-1096,41,82,平盖带轮垃圾桶 [#41],0-40,207,未放置; 预分配 摩托车 [8e7e45e8],无,无
训练,scene-1097,40,40,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 汽车 [df89812f],无,无
训练,scene-1098,40,40,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 汽车 [7bbbe624],无,无
训练,scene-1099,40,120,软质袋或袋组 [#19],0-39,35,成年行人 [e8361fed],0-39,13
训练,scene-1100,40,80,未放置; 预分配 软质袋或袋组 [#27],无,无,成年行人 [f81722a6],0-39,40
训练,scene-1101,40,40,未放置; 预分配 带脚轮金属工具箱 [#55],无,无,未放置; 预分配 摩托车 [b2710614],无,无
训练,scene-1102,40,46,未放置; 预分配 大型垃圾箱 [#32],无,无,自行车 [b9cdbe71],0-2; 5,4.5
训练,scene-1104,41,41,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 汽车 [daebe5b5],无,无
训练,scene-1105,40,40,未放置; 预分配 开口塑料垃圾桶 [#53],无,无,未放置; 预分配 摩托车 [c5d913c8],无,无
训练,scene-1106,40,43,软质袋或袋组 [#22],22-23,9,未放置; 预分配 成年行人 [ae82ec5d],无,无
训练,scene-1107,41,41,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 成年行人 [deb5aaf4],无,无
训练,scene-1108,40,40,未放置; 预分配 软质袋或袋组 [#19],无,无,未放置; 预分配 摩托车 [124b22a3],无,无
训练,scene-1109,39,77,料斗式搬运车 [#58],0-16; 18-38,11,未放置; 预分配 汽车 [ec23c028],无,无
训练,scene-1110,40,53,未放置; 预分配 大型垃圾箱 [#31],无,无,自行车 [d41bf164],32-35; 37-39,1
验证,scene-0003,40,107,购物小拉车 [#70],0-10; 14-16; 26-27,2,成年行人 [ceefa72f],0-26; 28-33; 35,4
验证,scene-0012,40,55,两轮手扶搬运车 [#68],0-10,2,未放置; 预分配 自行车 [3b154561],无,无
验证,scene-0013,40,54,未放置; 预分配 大型垃圾箱 [#35],无,无,自行车 [05bd4fdb],0-5; 11-12,1
验证,scene-0014,40,63,未放置; 预分配 大型垃圾箱 [#29],无,无,成年行人 [68559244],0-15,10.5
验证,scene-0015,40,40,未放置; 预分配 大型垃圾箱 [#52],无,无,未放置; 预分配 摩托车 [521a0d8e],无,无
验证,scene-0016,40,40,未放置; 预分配 街旁小型垃圾桶 [#46],无,无,未放置; 预分配 汽车 [793dfe26],无,无
验证,scene-0017,40,40,未放置; 预分配 软壳拉杆旅行箱 [#48],无,无,未放置; 预分配 自行车 [431f287a],无,无
验证,scene-0018,40,75,背包 [#24],2; 5-6; 8-12; 14; 16; 18,2,摩托车 [6a85f754],0-2; 4-6; 10; 13,9.5
验证,scene-0035,40,53,平盖带轮垃圾桶 [#43],0-2,60,成年行人 [2fa52c38],0-4,2
验证,scene-0036,40,52,未放置; 预分配 大型垃圾箱 [#30],无,无,成年行人 [f767b77d],0-8,1
验证,scene-0038,40,49,平盖带轮垃圾桶 [#42],0-8,62,未放置; 预分配 自行车 [b643d160],无,无
验证,scene-0039,40,54,平盖带轮垃圾桶 [#44],0,34,汽车 [844fd82b],14-21; 23,29
验证,scene-0092,40,46,购物小拉车 [#66],0-2,1,未放置; 预分配 汽车 [fadab280],无,无
验证,scene-0093,39,55,罩顶垃圾桶 [#36],2; 4-5; 10; 12-16,3,成年行人 [f0d0900f],16-18,8
验证,scene-0094,40,52,两轮手扶搬运车 [#68],0-4,5,摩托车 [f49ecfa2],0-1; 3,8
验证,scene-0095,39,78,购物小拉车 [#70],0-36,2,未放置; 预分配 汽车 [dc62931b],无,无
验证,scene-0096,39,56,大型垃圾箱 [#30],0-2; 5-14,74,未放置; 预分配 成年行人 [4b92faea],无,无
验证,scene-0097,39,63,背包 [#24],0-15; 17-18; 20; 22-23,3,未放置; 预分配 汽车 [80daad70],无,无
验证,scene-0098,39,44,软壳拉杆旅行箱 [#48],0-3,2,未放置; 预分配 汽车 [eaf91a50],无,无
验证,scene-0099,39,39,未放置; 预分配 平盖带轮垃圾桶 [#42],无,无,未放置; 预分配 汽车 [58af2dcb],无,无
验证,scene-0100,40,80,未放置; 预分配 街旁小型垃圾桶 [#46],无,无,摩托车 [00f84304],0-39,98
验证,scene-0101,40,65,罩顶垃圾桶 [#36],0-20; 22,60,未放置; 预分配 自行车 [53eff293],无,无
验证,scene-0102,40,40,未放置; 预分配 大型垃圾箱 [#29],无,无,未放置; 预分配 自行车 [1fc7f7af],无,无
验证,scene-0103,40,94,平盖带轮垃圾桶 [#44],21; 26-36,5.5,摩托车 [fa670377],22-26; 28-36,3
验证,scene-0104,39,39,未放置; 预分配 大型垃圾箱 [#35],无,无,未放置; 预分配 汽车 [ef52afe7],无,无
验证,scene-0105,39,49,大型垃圾箱 [#52],0-8,10,未放置; 预分配 汽车 [75677f76],无,无
验证,scene-0106,40,54,平盖带轮垃圾桶 [#43],0-7,7.5,成年行人 [f9922458],0-3; 6-7,2
验证,scene-0107,40,53,购物小拉车 [#66],14-20,2,未放置; 预分配 汽车 [4cf65ec6],无,无
验证,scene-0108,39,39,未放置; 预分配 大型垃圾箱 [#30],无,无,未放置; 预分配 成年行人 [77fc292c],无,无
验证,scene-0109,40,72,背包 [#24],29; 31-33,3.5,自行车 [6546aef4],16; 20-33,3
验证,scene-0110,40,48,大型垃圾箱 [#29],32-33; 35-39,15,未放置; 预分配 摩托车 [bb3806c4],无,无
验证,scene-0221,39,39,未放置; 预分配 街旁小型垃圾桶 [#46],无,无,未放置; 预分配 自行车 [2ee37adc],无,无
验证,scene-0268,39,39,未放置; 预分配 大型垃圾箱 [#52],无,无,未放置; 预分配 摩托车 [acd164ca],无,无
验证,scene-0269,40,54,购物小拉车 [#70],0-3,1.5,未放置; 预分配 自行车 [f6150ed9],无,无
验证,scene-0270,40,40,未放置; 预分配 软壳拉杆旅行箱 [#48],无,无,未放置; 预分配 摩托车 [fc16de8b],无,无
验证,scene-0271,39,39,未放置; 预分配 平盖带轮垃圾桶 [#43],无,无,未放置; 预分配 自行车 [85df62a4],无,无
验证,scene-0272,39,39,未放置; 预分配 罩顶垃圾桶 [#36],无,无,未放置; 预分配 成年行人 [d2671c66],无,无
验证,scene-0273,39,49,未放置; 预分配 两轮手扶搬运车 [#68],无,无,成年行人 [10791c17],31-38,3
验证,scene-0274,40,54,平盖带轮垃圾桶 [#42],32; 34-39,19,摩托车 [648a53f3],34; 36-39,3
验证,scene-0275,40,84,购物小拉车 [#66],0; 3-4,1,摩托车 [4f637b00],3-39,32
验证,scene-0276,40,69,平盖带轮垃圾桶 [#44],0-12,18,自行车 [0a69bddb],0-8,2
验证,scene-0277,40,46,未放置; 预分配 大型垃圾箱 [#35],无,无,汽车 [045cd82a],0-5,353.5
验证,scene-0278,40,49,大型垃圾箱 [#30],0-5,43,摩托车 [047cf78c],0-2,58
验证,scene-0329,39,56,未放置; 预分配 平盖带轮垃圾桶 [#44],无,无,成年行人 [3169cb47],26-27; 29; 31-38,5
验证,scene-0330,39,39,未放置; 预分配 大型垃圾箱 [#35],无,无,未放置; 预分配 自行车 [2e20530e],无,无
验证,scene-0331,39,53,软壳拉杆旅行箱 [#48],20-24; 33,4,未放置; 预分配 汽车 [48a9d21a],无,无
验证,scene-0332,40,97,背包 [#24],0-19; 22; 24,5.5,摩托车 [637a67a1],0-23; 25-27,139
验证,scene-0344,40,120,大型垃圾箱 [#52],0-39,346,成年行人 [afa497ac],0-39,40
验证,scene-0345,39,52,平盖带轮垃圾桶 [#43],11-13; 16-25,14,未放置; 预分配 成年行人 [a5a92f4d],无,无
验证,scene-0346,40,62,购物小拉车 [#66],0-11; 13; 15-21,2,未放置; 预分配 汽车 [9117f806],无,无
验证,scene-0519,41,53,两轮手扶搬运车 [#68],0-5; 7-12,6.5,未放置; 预分配 成年行人 [1f60761c],无,无
验证,scene-0520,41,41,未放置; 预分配 罩顶垃圾桶 [#36],无,无,未放置; 预分配 自行车 [552863d6],无,无
验证,scene-0521,40,41,平盖带轮垃圾桶 [#42],0,99,未放置; 预分配 摩托车 [b33ce0ed],无,无
验证,scene-0522,40,40,未放置; 预分配 大型垃圾箱 [#29],无,无,未放置; 预分配 汽车 [1cbc152f],无,无
验证,scene-0523,40,47,未放置; 预分配 街旁小型垃圾桶 [#46],无,无,自行车 [b50e31cc],29; 31-34,3
验证,scene-0524,41,58,购物小拉车 [#70],0-1,1.5,自行车 [d41a43be],1-3; 5-9,3
验证,scene-0552,41,41,未放置; 预分配 大型垃圾箱 [#30],无,无,未放置; 预分配 自行车 [86d8a866],无,无
验证,scene-0553,41,123,平盖带轮垃圾桶 [#43],0-40,117,自行车 [53e34572],0-20; 22-23; 25-30; 32-40,2
验证,scene-0554,41,123,平盖带轮垃圾桶 [#42],0-40,109,摩托车 [c68d42ec],0-40,321
验证,scene-0555,40,59,背包 [#24],0-7; 10-13,5,未放置; 预分配 自行车 [37cfa1c5],无,无
验证,scene-0556,40,66,未放置; 预分配 街旁小型垃圾桶 [#46],无,无,汽车 [a965af26],0-25,15.5
验证,scene-0557,40,49,软壳拉杆旅行箱 [#48],0-7,3,未放置; 预分配 汽车 [c2f0c600],无,无
验证,scene-0558,41,58,购物小拉车 [#66],24-40,2,未放置; 预分配 摩托车 [f29b03f2],无,无
验证,scene-0559,41,41,未放置; 预分配 平盖带轮垃圾桶 [#44],无,无,未放置; 预分配 自行车 [bfc2a98e],无,无
验证,scene-0560,40,40,未放置; 预分配 大型垃圾箱 [#52],无,无,未放置; 预分配 摩托车 [428be157],无,无
验证,scene-0561,40,48,两轮手扶搬运车 [#68],32; 35-39,10,未放置; 预分配 摩托车 [62283fa6],无,无
验证,scene-0562,40,68,未放置; 预分配 大型垃圾箱 [#35],无,无,成年行人 [97e5f368],7-16; 18-24; 26; 28,5
验证,scene-0563,40,85,购物小拉车 [#70],0-4; 8; 14; 23; 28-29; 31-32; 34; 36-38,1,成年行人 [f9cbeac9],0-4,12
验证,scene-0564,40,48,大型垃圾箱 [#29],0-6; 27,218.5,未放置; 预分配 摩托车 [71d5b8e2],无,无
验证,scene-0565,40,40,未放置; 预分配 罩顶垃圾桶 [#36],无,无,未放置; 预分配 成年行人 [e202be21],无,无
验证,scene-0625,40,55,大型垃圾箱 [#52],29-39,15,未放置; 预分配 成年行人 [0c5378b6],无,无
验证,scene-0626,40,54,平盖带轮垃圾桶 [#42],0-3,120,摩托车 [7c6c0ea7],0-3; 6; 9,13.5
验证,scene-0627,41,56,平盖带轮垃圾桶 [#44],1-11,20,自行车 [cadd0f8e],0,8
验证,scene-0629,40,51,未放置; 预分配 大型垃圾箱 [#35],无,无,自行车 [2ee37adc],5-7; 11,1
验证,scene-0630,41,67,平盖带轮垃圾桶 [#43],0-4,15,成年行人 [97e5f368],9; 13; 16-28; 34,4
验证,scene-0632,40,79,背包 [#24],4-12,3,成年行人 [d2671c66],0-9; 11-20; 24; 26-27,5
验证,scene-0633,40,51,购物小拉车 [#70],0,2,成年行人 [68559244],0-6,2
验证,scene-0634,40,95,大型垃圾箱 [#30],23-24; 28-39,72,摩托车 [fc16de8b],0-13; 16-22,25
验证,scene-0635,40,120,软壳拉杆旅行箱 [#48],0-39,3,成年行人 [77fc292c],0-39,12
验证,scene-0636,40,74,罩顶垃圾桶 [#36],32-39,14,汽车 [ef52afe7],0-6; 8; 10-12; 15; 18; 20; 22-23,5.5
验证,scene-0637,40,49,未放置; 预分配 街旁小型垃圾桶 [#46],无,无,自行车 [53e34572],0; 4-5,1
验证,scene-0638,41,75,大型垃圾箱 [#29],0-5; 8-13; 15-21,22,自行车 [86d8a866],1; 3-5,1
验证,scene-0770,40,80,购物小拉车 [#66],0-39,2,未放置; 预分配 成年行人 [0c5378b6],无,无
验证,scene-0771,41,82,两轮手扶搬运车 [#68],0-40,14,未放置; 预分配 自行车 [f6150ed9],无,无
验证,scene-0775,41,123,购物小拉车 [#66],0-11; 13-18; 20-40,1,自行车 [b50e31cc],0-40,7
验证,scene-0777,40,80,大型垃圾箱 [#29],0-39,131,未放置; 预分配 汽车 [58af2dcb],无,无
验证,scene-0778,40,40,未放置; 预分配 罩顶垃圾桶 [#36],无,无,未放置; 预分配 汽车 [9117f806],无,无
验证,scene-0780,41,82,大型垃圾箱 [#52],0-40,99,未放置; 预分配 汽车 [75677f76],无,无
验证,scene-0781,40,80,平盖带轮垃圾桶 [#43],0-39,199,未放置; 预分配 汽车 [fadab280],无,无
验证,scene-0782,41,41,未放置; 预分配 平盖带轮垃圾桶 [#44],无,无,未放置; 预分配 摩托车 [acd164ca],无,无
验证,scene-0783,41,41,未放置; 预分配 两轮手扶搬运车 [#68],无,无,未放置; 预分配 成年行人 [f9922458],无,无
验证,scene-0784,41,82,背包 [#24],0-40,4,未放置; 预分配 自行车 [552863d6],无,无
验证,scene-0794,40,80,软壳拉杆旅行箱 [#48],0-39,4,未放置; 预分配 摩托车 [bb3806c4],无,无
验证,scene-0795,40,40,未放置; 预分配 平盖带轮垃圾桶 [#42],无,无,未放置; 预分配 摩托车 [00f84304],无,无
验证,scene-0796,40,47,大型垃圾箱 [#30],33-39,8,未放置; 预分配 自行车 [1fc7f7af],无,无
验证,scene-0797,40,67,购物小拉车 [#70],12; 15-17; 19; 36,1.5,摩托车 [f49ecfa2],9-11; 15-16,9
验证,scene-0798,40,40,未放置; 预分配 大型垃圾箱 [#35],无,无,未放置; 预分配 成年行人 [a5a92f4d],无,无
验证,scene-0799,40,40,未放置; 预分配 街旁小型垃圾桶 [#46],无,无,未放置; 预分配 摩托车 [fa670377],无,无
验证,scene-0800,40,40,未放置; 预分配 大型垃圾箱 [#35],无,无,未放置; 预分配 成年行人 [2fa52c38],无,无
验证,scene-0802,41,48,未放置; 预分配 街旁小型垃圾桶 [#46],无,无,摩托车 [6a85f754],0-4; 6,6.5
验证,scene-0904,41,70,两轮手扶搬运车 [#68],5-10; 14-16,1,摩托车 [637a67a1],28; 30; 34-35; 37-40,3
验证,scene-0905,40,47,平盖带轮垃圾桶 [#42],36-39,15.5,未放置; 预分配 自行车 [bfc2a98e],无,无
验证,scene-0906,41,55,平盖带轮垃圾桶 [#43],34; 36-40,8.5,成年行人 [f0d0900f],0-1,16.5
验证,scene-0907,40,40,未放置; 预分配 大型垃圾箱 [#30],无,无,未放置; 预分配 成年行人 [e202be21],无,无
验证,scene-0908,41,59,购物小拉车 [#70],0-10; 12; 14-15,2,未放置; 预分配 自行车 [37cfa1c5],无,无
验证,scene-0909,40,45,大型垃圾箱 [#29],0-4,8,未放置; 预分配 自行车 [53eff293],无,无
验证,scene-0910,40,45,软壳拉杆旅行箱 [#48],0-2,3,未放置; 预分配 汽车 [844fd82b],无,无
验证,scene-0911,40,40,未放置; 预分配 背包 [#24],无,无,未放置; 预分配 自行车 [6546aef4],无,无
验证,scene-0912,40,44,平盖带轮垃圾桶 [#44],0-2; 7,11.5,未放置; 预分配 汽车 [a965af26],无,无
验证,scene-0913,40,62,大型垃圾箱 [#52],11-24,22.5,自行车 [3b154561],33-34; 38,1
验证,scene-0914,41,50,购物小拉车 [#66],5,1,未放置; 预分配 摩托车 [428be157],无,无
验证,scene-0915,41,55,罩顶垃圾桶 [#36],39-40,201,成年行人 [ceefa72f],24; 28; 30-31; 33-35,2
验证,scene-0916,41,41,未放置; 预分配 罩顶垃圾桶 [#36],无,无,未放置; 预分配 摩托车 [f29b03f2],无,无
验证,scene-0917,41,41,未放置; 预分配 大型垃圾箱 [#30],无,无,未放置; 预分配 摩托车 [c68d42ec],无,无
验证,scene-0919,41,53,两轮手扶搬运车 [#68],0-3,5.5,成年行人 [afa497ac],0-3; 5,8
验证,scene-0920,41,49,大型垃圾箱 [#29],30-31; 35-40,10.5,未放置; 预分配 汽车 [045cd82a],无,无
验证,scene-0921,41,41,未放置; 预分配 街旁小型垃圾桶 [#46],无,无,未放置; 预分配 自行车 [d41a43be],无,无
验证,scene-0922,41,74,软壳拉杆旅行箱 [#48],3-5,4,摩托车 [7c6c0ea7],0-1; 3-22; 24-25,5.5
验证,scene-0923,40,60,平盖带轮垃圾桶 [#42],0-10,5,自行车 [85df62a4],0-7,3
验证,scene-0924,40,40,未放置; 预分配 大型垃圾箱 [#52],无,无,未放置; 预分配 汽车 [4cf65ec6],无,无
验证,scene-0925,40,40,未放置; 预分配 背包 [#24],无,无,未放置; 预分配 汽车 [793dfe26],无,无
验证,scene-0926,41,41,未放置; 预分配 购物小拉车 [#66],无,无,未放置; 预分配 成年行人 [f767b77d],无,无
验证,scene-0927,40,40,未放置; 预分配 平盖带轮垃圾桶 [#44],无,无,未放置; 预分配 摩托车 [648a53f3],无,无
验证,scene-0928,40,54,购物小拉车 [#70],22-24,1,未放置; 预分配 成年行人 [1f60761c],无,无
验证,scene-0929,40,40,未放置; 预分配 大型垃圾箱 [#35],无,无,未放置; 预分配 自行车 [431f287a],无,无
验证,scene-0930,40,70,平盖带轮垃圾桶 [#43],28; 30-39,16,摩托车 [4f637b00],30-39,19.5
验证,scene-0931,40,53,平盖带轮垃圾桶 [#44],27-39,16,未放置; 预分配 汽车 [eaf91a50],无,无
验证,scene-0962,41,53,大型垃圾箱 [#29],0-7; 9-10,23.5,未放置; 预分配 摩托车 [521a0d8e],无,无
验证,scene-0963,40,45,未放置; 预分配 大型垃圾箱 [#35],无,无,摩托车 [047cf78c],0-4,112
验证,scene-0966,41,47,两轮手扶搬运车 [#68],36-40,4,未放置; 预分配 汽车 [48a9d21a],无,无
验证,scene-0967,41,62,软壳拉杆旅行箱 [#48],0-2; 4-6; 12-13,1.5,未放置; 预分配 汽车 [80daad70],无,无
验证,scene-0968,41,69,平盖带轮垃圾桶 [#43],0-27,55.5,未放置; 预分配 汽车 [1cbc152f],无,无
验证,scene-0969,40,108,罩顶垃圾桶 [#36],0-34,14,自行车 [0a69bddb],0-15; 18; 22; 25,3
验证,scene-0971,40,60,未放置; 预分配 街旁小型垃圾桶 [#46],无,无,自行车 [05bd4fdb],0-13; 15-16; 18-19,5.5
验证,scene-0972,41,58,大型垃圾箱 [#52],30-40,16,未放置; 预分配 摩托车 [b33ce0ed],无,无
验证,scene-1059,40,40,未放置; 预分配 平盖带轮垃圾桶 [#42],无,无,未放置; 预分配 成年行人 [f9cbeac9],无,无
验证,scene-1060,40,54,购物小拉车 [#70],0,1,自行车 [b643d160],22,1
验证,scene-1061,41,41,未放置; 预分配 大型垃圾箱 [#30],无,无,未放置; 预分配 自行车 [2e20530e],无,无
验证,scene-1062,40,55,背包 [#24],0-1; 4-5,2.5,摩托车 [62283fa6],0-6,17
验证,scene-1063,40,40,未放置; 预分配 购物小拉车 [#66],无,无,未放置; 预分配 成年行人 [3169cb47],无,无
验证,scene-1064,40,62,未放置; 预分配 购物小拉车 [#70],无,无,自行车 [cadd0f8e],36-39,4.5
验证,scene-1065,40,57,罩顶垃圾桶 [#36],19-31,8,未放置; 预分配 汽车 [c2f0c600],无,无
验证,scene-1066,40,48,平盖带轮垃圾桶 [#43],0-6,15,未放置; 预分配 汽车 [dc62931b],无,无
验证,scene-1067,40,40,未放置; 预分配 街旁小型垃圾桶 [#46],无,无,未放置; 预分配 摩托车 [71d5b8e2],无,无
验证,scene-1068,40,64,大型垃圾箱 [#52],16-33,29.5,未放置; 预分配 成年行人 [4b92faea],无,无
验证,scene-1069,40,57,软壳拉杆旅行箱 [#48],10-11,4,成年行人 [10791c17],0-5; 7-8; 11,3
验证,scene-1070,41,50,平盖带轮垃圾桶 [#42],0-1,68.5,成年行人 [10791c17],0-3,4.5
验证,scene-1071,40,40,未放置; 预分配 大型垃圾箱 [#30],无,无,未放置; 预分配 摩托车 [7c6c0ea7],无,无
验证,scene-1072,40,53,两轮手扶搬运车 [#68],0-6,3,未放置; 预分配 汽车 [75677f76],无,无
验证,scene-1073,40,40,未放置; 预分配 购物小拉车 [#66],无,无,未放置; 预分配 汽车 [c2f0c600],无,无
